m,c,R_Ratio,Stability,Intensity
507,6,0.05405405405405406,0.25,45.15051499783199
507,7,2.1674311926605503,0.25,45.15051499783199
507,8,0.05405405405405406,0.25,45.15051499783199
507,9,1.8574821852731591,0.25,45.15051499783199
507,10,0.05405405405405406,0.25,45.15051499783199
507,11,1.9789719626168225,0.25,45.15051499783199
507,12,0.05405405405405406,0.25,45.15051499783199
507,13,1.9624413145539905,0.25,45.15051499783199
507,14,0.05405405405405406,0.25,45.15051499783199
507,15,1.9554896142433233,0.25,36.62847368018632
508,1,0.05454545454545454,0.25,45.15051499783199
508,2,1.008,0.25,45.15051499783199
508,3,0.05454545454545454,0.25,45.15051499783199
508,4,3.874570446735395,0.25,45.15051499783199
508,5,0.05454545454545454,0.25,45.15051499783199
508,6,1.008,0.25,45.15051499783199
508,7,0.05454545454545454,0.25,45.15051499783199
508,8,1.9716312056737588,0.25,45.15051499783199
508,9,0.05454545454545454,0.25,45.15051499783199
508,10,1.008,0.25,45.15051499783199
508,11,0.05454545454545454,0.25,45.15051499783199
508,12,3.872570194384449,0.25,36.62847368018632
508,13,0.05454545454545454,0.25,45.15051499783199
508,14,1.008,0.25,45.15051499783199
508,15,0.05454545454545454,0.25,45.15051499783199
509,1,2.007042253521127,0.25,45.15051499783199
509,2,0.05454545454545454,0.25,45.15051499783199
509,3,2.0023310023310024,0.25,45.15051499783199
509,4,0.05454545454545454,0.25,45.15051499783199
509,5,2.053240740740741,0.25,45.15051499783199
509,6,0.05454545454545454,0.25,45.15051499783199
509,7,2.0600461893764432,0.25,45.15051499783199
509,8,0.05454545454545454,0.25,45.15051499783199
509,9,1.9376854599406528,0.25,36.62847368018632
509,10,0.05454545454545454,0.25,45.15051499783199
509,11,1.9386792452830188,0.25,45.15051499783199
509,12,0.05454545454545454,0.25,45.15051499783199
509,13,1.8647342995169083,0.25,45.15051499783199
509,14,0.05454545454545454,0.25,45.15051499783199
509,15,1.7696969696969698,0.25,36.66175099262877
510,1,0.05454545454545454,0.25,45.15051499783199
510,2,2.995959595959596,0.25,45.15051499783199
510,3,0.05454545454545454,0.25,45.15051499783199
510,4,1.008,0.25,45.15051499783199
510,5,0.05454545454545454,0.25,45.15051499783199
510,6,3.010126582278481,0.25,36.62847368018632
510,7,0.05454545454545454,0.25,45.15051499783199
510,8,1.008,0.25,45.15051499783199
510,9,0.05454545454545454,0.25,45.15051499783199
510,10,2.8997429305912594,0.25,36.66175099262877
510,11,0.05454545454545454,0.25,45.15051499783199
510,12,1.008,0.25,45.15051499783199
510,13,0.05454545454545454,0.25,45.15051499783199
510,14,2.9411764705882355,0.25,39.505951797931
510,15,0.05454545454545454,0.25,45.15051499783199
