m,c,r_ratio,stability,intensity
1,47,2.0454545454545454,0.8,0.958231420079876
1,48,0.01,0.6,1.7236474773837283
1,49,2.0454545454545454,0.6,0.9735264906142161
1,50,0.01,0.6,1.7307351260042794
1,51,2.7142857142857144,0.6,0.9576902414046911
1,52,0.01,0.6,1.7375449002611831
1,53,2.2333333333333334,1.0,0.9729211996881786
1,54,0.01,0.6,1.744097769016718
1,55,1.9411764705882353,0.6,0.9873027484957788
1,56,0.01,0.6,1.7504124136621328
1,57,2.1666666666666665,0.6,0.9907094163555348
1,58,0.01,0.6,1.756505549193524
1,59,2.185185185185185,1.0,0.9547455900405499
1,60,0.01,0.6,1.762392190858402
1,61,3.4444444444444446,1.0,0.9485387432925562
1,62,0.01,0.6,1.7680858770831438
1,63,3.75,0.6,0.9576902414046911
1,64,0.01,0.6,1.7735988570106902
1,65,2.25,0.6,1.0151385836403608
1,66,0.01,0.6,1.7789422491832965
1,67,2.28,1.0,1.0261747775691323
1,68,0.01,0.6,1.7841261765392837
1,69,2.4,0.6,1.0140105301698221
1,70,0.01,0.6,1.789159881843722
1,71,2.473684210526316,1.0,1.023501985257536
1,72,0.01,0.6,1.7940518268604304
1,73,3.5,0.6,0.9869158485403388
1,74,0.01,0.6,1.7988097779382421
1,75,2.4545454545454546,0.6,0.9929084932158274
1,76,0.01,0.6,1.8034408801854753
1,77,2.1,0.6,1.0533554325762977
1,78,0.01,0.6,1.807951722011208
1,79,2.026315789473684,0.8,1.0556116346582356
1,80,0.01,0.6,1.8123483914967302
1,81,2.588235294117647,0.8,1.0406849109988547
1,82,0.01,0.6,1.8166365258075825
1,83,2.0816326530612246,1.0,1.0576391100869198
1,84,0.01,0.6,1.8208213546524128
1,85,3.1666666666666665,0.6,1.0178962405374876
1,86,0.01,0.6,1.824907738629117
1,87,1.903225806451613,0.6,1.072785543125071
1,88,0.01,0.6,1.8289002031634987
1,89,3.125,0.6,1.0312855984636102
1,90,0.01,0.6,1.8328029686347107
1,91,3.375,0.6,1.0622659904607588
1,92,0.01,0.6,1.8366199771903369
1,93,3.0,0.6,1.0200410136158422
1,94,0.01,0.6,1.8403549166782487
1,95,2.3636363636363638,0.8,1.0807750319818799
1,96,0.01,0.6,1.844011242059441
1,97,2.2580645161290325,0.8,1.082684095563126
1,98,0.01,0.6,1.8475921946134648
1,99,2.15,0.6,1.0921098129918347
2,1,0.023622047244094488,0.6,7.766573888130715
2,2,3.6666666666666665,1.0,0.5770722440063023
2,3,0.023809523809523808,0.6,7.766573888130715
2,4,1.02,0.6,1.1760346214615593
2,5,0.023809523809523808,0.6,7.766573888130715
2,6,4.5,0.8,0.6372782431390986
2,7,0.023622047244094488,0.6,7.766573888130715
2,8,1.02,0.6,1.2941784892337993
2,9,0.023622047244094488,0.6,7.766573888130715
2,10,4.5,0.8,0.6816479930623699
2,11,0.024,0.6,7.766573888130715
2,12,1.02,0.6,1.36385191539797
2,13,0.024,0.6,7.766573888130715
2,14,3.25,0.6,0.7327024940830311
2,15,0.023622047244094488,0.6,7.766573888130715
2,16,1.02,0.6,1.4134445330225052
2,17,0.023622047244094488,0.6,7.766573888130715
2,18,4.333333333333333,0.8,0.7576902414046911
2,19,0.023809523809523808,0.6,7.766573888130715
2,20,1.02,0.6,1.451978381229959
2,21,0.023809523809523808,0.6,7.766573888130715
2,22,4.0,1.0,0.8020599913279625
2,23,0.023622047244094488,0.6,7.766573888130715
2,24,1.02,0.6,1.483497261567723
2,25,0.023622047244094488,0.6,7.766573888130715
2,26,4.2,1.0,0.8178962405374873
2,27,0.024193548387096774,0.6,7.766573888130715
2,28,1.02,0.6,1.5101661618278208
2,29,0.024193548387096774,0.6,7.766573888130715
2,30,4.0,0.6,0.8372782431390988
2,31,0.023622047244094488,0.6,7.766573888130715
2,32,1.02,0.6,1.5332805305141277
2,33,0.023622047244094488,0.6,7.766573888130715
2,34,3.375,0.6,0.8798932082008688
2,35,0.023809523809523808,0.6,7.766573888130715
2,36,1.02,0.6,1.5536774140255907
2,37,0.023809523809523808,0.6,7.766573888130715
2,38,3.1333333333333333,1.0,0.9235509959708962
2,39,0.023622047244094488,0.6,7.766573888130715
2,40,1.02,0.6,1.5719290917673352
2,41,0.023622047244094488,0.6,7.766573888130715
2,42,3.4,0.6,0.8974842422718948
2,43,0.024,0.6,7.766573888130715
2,44,1.02,0.6,1.588444166000618
2,45,0.024,0.6,7.766573888130715
2,46,3.2,0.8,0.9409810311146762
2,47,0.023622047244094488,0.6,7.766573888130715
2,48,1.02,0.6,1.603524582256797
2,49,0.023622047244094488,0.6,7.766573888130715
2,50,4.5,0.8,0.9224719895935548
2,51,0.023809523809523808,0.6,7.766573888130715
2,52,1.02,0.6,1.6173997966679292
2,53,0.023809523809523808,0.6,7.766573888130715
2,54,4.5,0.8,0.9383082388030799
2,55,0.023622047244094488,0.6,7.766573888130715
2,56,1.02,0.6,1.6302482702355827
2,57,0.023622047244094488,0.6,7.766573888130715
2,58,3.5,1.0,0.9516975967292025
2,59,0.024390243902439025,0.6,7.766573888130715
2,60,1.02,0.6,1.6422115432515434
2,61,0.024390243902439025,0.6,7.766573888130715
2,62,4.25,0.6,0.9576902414046911
2,63,0.023622047244094488,0.6,7.766573888130715
2,64,1.02,0.6,1.6534037659667313
2,65,0.023622047244094488,0.6,7.766573888130715
2,66,3.3,0.6,1.00629785114195
2,67,0.023809523809523808,0.6,7.766573888130715
2,68,1.02,0.6,1.6639183395189776
2,69,0.023809523809523808,0.6,7.766573888130715
2,70,3.25,0.6,0.9879437764708209
2,71,0.023622047244094488,0.6,7.766573888130715
2,72,1.02,0.6,1.673832658692244
2,73,0.023622047244094488,0.6,7.766573888130715
2,74,2.925925925925926,1.0,1.0439629942364888
2,75,0.024,0.6,7.766573888130715
2,76,1.02,0.6,1.68321157251177
2,77,0.024,0.6,7.766573888130715
2,78,3.6666666666666665,0.8,1.0337324897470124
2,79,0.023622047244094488,0.6,7.766573888130715
2,80,1.02,0.6,1.6921099573715292
2,81,0.023622047244094488,0.6,7.766573888130715
2,82,3.5,0.8,1.038428708916917
2,83,0.023809523809523808,0.6,7.766573888130715
2,84,1.02,0.6,1.7005746625295928
2,85,0.023809523809523808,0.6,7.766573888130715
2,86,3.2142857142857144,0.6,1.0622659904607588
2,87,0.023622047244094488,0.6,7.766573888130715
2,88,1.02,0.6,1.7086460031665958
2,89,0.023622047244094488,0.6,7.766573888130715
2,90,4.25,0.6,1.0178962405374876
2,91,0.024193548387096774,0.6,7.766573888130715
2,92,1.02,0.6,1.7163589216759156
2,93,0.024193548387096774,0.6,7.766573888130715
2,94,3.0454545454545454,0.8,1.0786434183454685
2,95,0.023622047244094488,0.6,7.766573888130715
2,96,1.02,0.6,1.7237439018995844
2,97,0.023622047244094488,0.6,7.766573888130715
2,98,3.0454545454545454,0.6,1.0939384888798087
2,99,0.023809523809523808,0.6,7.766573888130715
3,1,4.0,1.0,0.6622659904607586
3,2,0.01,0.6,7.764684643290616
3,3,2.2,0.6,0.7327024940830311
3,4,0.01,0.6,7.76060256671762
3,5,1.75,0.6,0.8771927141201395
3,6,0.01,0.6,7.764518301921558
3,7,3.6666666666666665,0.8,0.7418539921951661
3,8,0.01,0.6,7.762469320770708
3,9,2.0,0.6,0.8031389977053036
3,10,0.01,0.6,7.761939599585332
3,11,1.736842105263158,0.6,1.1383986697288753
3,12,0.01,0.6,7.762857903879263
3,13,3.0,1.0,0.9685617738692096
3,14,0.01,0.6,7.76210594095439
3,15,2.6666666666666665,0.6,0.8122904958174386
3,16,0.01,0.6,7.7639603688191645
3,17,3.5,1.0,0.9030899869919435
3,18,0.01,0.6,7.765241109597379
3,19,2.272727272727273,0.6,1.0179866714632828
3,20,0.01,0.6,7.759651439358718
3,21,2.125,0.6,1.0122904958174386
3,22,0.01,0.6,7.764387175011319
3,23,4.333333333333333,0.8,0.8622659904607586
3,24,0.01,0.6,7.761225074463823
3,25,2.3333333333333335,0.6,0.9350823387429728
3,26,0.01,0.6,7.763830708704556
3,27,1.6666666666666667,0.6,1.114399497858761
3,28,0.01,0.6,7.762525212536263
3,29,1.9142857142857144,0.6,1.3026818786622363
3,30,0.01,0.6,7.764963774588361
3,31,1.8709677419354838,0.6,1.2315643400354817
3,32,0.01,0.6,7.761902704790058
3,33,3.0,0.6,0.9735264906142161
3,34,0.01,0.6,7.766284334161031
3,35,1.8888888888888888,0.6,1.1277377773380248
3,36,0.01,0.6,7.764551893547029
3,37,1.8888888888888888,0.6,1.1356439283914348
3,38,0.01,0.6,7.765838861494228
3,39,2.857142857142857,0.6,0.9735264906142161
3,40,0.01,0.6,7.764218121194726
3,41,2.6470588235294117,1.0,1.1439139835231287
3,42,0.01,0.6,7.764902964476752
3,43,2.275,1.0,1.3698691388382682
3,44,0.01,0.6,7.762135548418405
3,45,1.5454545454545454,0.6,1.2588897178958693
3,46,0.01,0.6,7.765486764447578
3,47,2.076923076923077,0.6,1.2888779190115405
3,48,0.01,0.6,7.759705324767646
3,49,1.9615384615384615,0.8,1.2680615315025143
3,50,0.01,0.6,7.762523399556156
3,51,1.9090909090909092,0.6,1.222134100351475
3,52,0.01,0.6,7.7618559106324145
3,53,1.7708333333333333,0.6,1.527112446885706
3,54,0.01,0.6,7.76147625777009
3,55,5.0,0.8,0.9826779887263513
3,56,0.01,0.6,7.765008489744034
3,57,1.9473684210526316,0.6,1.3204064391183294
3,58,0.01,0.6,7.765272374950736
3,59,1.6333333333333333,0.6,1.6322186451131853
3,60,0.01,0.6,7.764552910832765
3,61,2.3658536585365852,1.0,1.4309405806541995
3,62,0.01,0.6,7.765902058135038
3,63,1.875,0.6,1.2031389977053037
3,64,0.01,0.6,7.7619418401977835
3,65,2.1818181818181817,0.6,1.1858756098031773
3,66,0.01,0.6,7.764564572150616
3,67,1.9157894736842105,0.6,1.6315643400354816
3,68,0.01,0.6,7.761353799618003
3,69,1.6666666666666667,0.6,1.4604801790240463
3,70,0.01,0.6,7.764059872685794
3,71,1.7605633802816902,0.6,1.7413320555198282
3,72,0.01,0.6,7.761270723738565
3,73,2.027027027027027,0.6,1.4147885758698577
3,74,0.01,0.6,7.764736410132559
3,75,1.7058823529411764,0.6,1.4755265155961292
3,76,0.01,0.6,7.761635636001232
3,77,2.2045454545454546,1.0,1.4860461869551855
3,78,0.01,0.6,7.7643095220046145
3,79,2.3703703703703702,0.8,1.3594280147332174
3,80,0.01,0.6,7.760020853055205
3,81,2.2222222222222223,0.6,1.1848360014810335
3,82,0.01,0.6,7.7650818677773445
3,83,1.8909090909090909,0.6,1.6482990955765717
3,84,0.01,0.6,7.758454332196872
3,85,1.793103448275862,0.6,1.4323033070992537
3,86,0.01,0.6,7.7651595207840485
3,87,2.3076923076923075,0.6,1.1911537083543264
3,88,0.01,0.6,7.7609962807749495
3,89,2.5384615384615383,0.8,1.2074483169197685
3,90,0.01,0.6,7.7636473305863305
3,91,1.9259259259259258,0.8,1.5664281767680532
3,92,0.01,0.6,7.763767023041902
3,93,1.8888888888888888,0.6,1.4224128419233466
3,94,0.01,0.6,7.762604518370557
3,95,2.0,0.8,1.642970803355011
3,96,0.01,0.6,7.763690887689816
3,97,2.5,0.8,1.363512862383184
3,98,0.01,0.6,7.762787896488783
3,99,1.9375,0.6,1.390842942740602
4,1,0.046875,0.6,7.696137384508442
4,2,1.008,0.6,7.766573888130715
4,3,0.046153846153846156,0.6,7.706367888997919
4,4,4.666666666666667,1.0,0.6974842422718949
4,5,0.046153846153846156,0.6,7.703920997714516
4,6,1.0080645161290323,0.6,7.766573888130715
4,7,0.046875,0.6,7.723797924141698
4,8,2.03,0.6,1.2282472986845956
4,9,0.046153846153846156,0.6,7.766573888130715
4,10,1.0080645161290323,0.6,7.766573888130715
4,11,0.046153846153846156,0.6,7.655313387977257
4,12,5.5,0.8,0.7576902414046911
4,13,0.046153846153846156,0.6,7.723797924141698
4,14,1.008,0.6,7.766573888130715
4,15,0.046153846153846156,0.6,7.766573888130715
4,16,2.03,0.6,1.345291973723367
4,17,0.046875,0.6,7.5757253862428495
4,18,1.008,0.6,7.766573888130715
4,19,0.046153846153846156,0.6,7.696137384508442
4,20,5.5,0.8,0.8020599913279625
4,21,0.046153846153846156,0.6,7.681380141676259
4,22,1.008130081300813,0.6,7.766573888130715
4,23,0.046875,0.6,7.590652109902232
4,24,2.03,0.6,1.414590487499392
4,25,0.046153846153846156,0.6,7.696137384508442
4,26,1.008130081300813,0.6,7.766573888130715
4,27,0.046153846153846156,0.6,7.681380141676259
4,28,4.25,0.6,0.8531144923486236
4,29,0.046153846153846156,0.6,7.618312649535487
4,30,1.008,0.6,7.766573888130715
4,31,0.046153846153846156,0.6,7.696137384508442
4,32,2.03,0.6,1.4639940078007292
4,33,0.046875,0.6,7.706367888997919
4,34,1.008,0.6,7.766573888130715
4,35,0.046153846153846156,0.6,7.642149931079328
4,36,5.333333333333333,0.8,0.8781022396702836
4,37,0.046153846153846156,0.6,7.696137384508442
4,38,1.0080645161290323,0.6,7.766573888130715
4,39,0.046875,0.6,7.706367888997919
4,40,2.03,0.6,1.5024138665644915
4,41,0.046153846153846156,0.6,7.663097001183331
4,42,1.0080645161290323,0.6,7.766573888130715
4,43,0.046153846153846156,0.6,7.696137384508442
4,44,5.0,1.0,0.9224719895935548
4,45,0.046153846153846156,0.6,7.72574989159953
4,46,1.008,0.6,7.766573888130715
4,47,0.046153846153846156,0.6,7.681781338215778
4,48,2.03,0.6,1.5338565312880976
4,49,0.047619047619047616,0.6,7.696137384508442
4,50,1.008,0.6,7.766573888130715
4,51,0.046153846153846156,0.6,7.72574989159953
4,52,5.2,1.0,0.9383082388030799
4,53,0.046153846153846156,0.6,7.712761730212927
4,54,1.0081967213114753,0.6,7.766573888130715
4,55,0.047619047619047616,0.6,7.723797924141698
4,56,2.03,0.6,1.5604708823318183
4,57,0.046153846153846156,0.6,7.766573888130715
4,58,1.0081967213114753,0.6,7.766573888130715
4,59,0.046153846153846156,0.6,7.728129736259471
4,60,5.0,0.6,0.9576902414046911
4,61,0.046153846153846156,0.6,7.73872464780108
4,62,1.008,0.6,7.766573888130715
4,63,0.046153846153846156,0.6,7.766573888130715
4,64,2.03,0.6,1.5835442790588836
4,65,0.046875,0.6,7.728129736259471
4,66,1.008,0.6,7.766573888130715
4,67,0.046153846153846156,0.6,7.732590883847789
4,68,4.375,0.6,1.0003052064664613
4,69,0.046153846153846156,0.6,7.7549754987351776
4,70,1.0080645161290323,0.6,7.766573888130715
4,71,0.046875,0.6,7.741183082561989
4,72,2.03,0.6,1.6039092598333156
4,73,0.046153846153846156,0.6,7.745324699821666
4,74,1.0080645161290323,0.6,7.766573888130715
4,75,0.046153846153846156,0.6,7.7549754987351776
4,76,4.133333333333334,1.0,1.0439629942364888
4,77,0.046153846153846156,0.6,7.753322650632711
4,78,1.008,0.6,7.766573888130715
4,79,0.046153846153846156,0.6,7.757187500064862
4,80,2.03,0.6,1.622135392884959
4,81,0.046875,0.6,7.766573888130715
4,82,1.008,0.6,7.766573888130715
4,83,0.046153846153846156,0.6,7.667452956047979
4,84,4.4,0.6,1.0178962405374876
4,85,0.046153846153846156,0.6,7.729526960431604
4,86,1.008130081300813,0.6,7.766573888130715
4,87,0.046875,0.6,7.766573888130715
4,88,2.03,0.6,1.6386295520218375
4,89,0.046153846153846156,0.6,7.5757253862428495
4,90,1.008130081300813,0.6,7.766573888130715
4,91,0.046153846153846156,0.6,7.696137384508442
4,92,4.2,0.8,1.0613930293802687
4,93,0.046153846153846156,0.6,7.706367888997919
4,94,1.008,0.6,7.766573888130715
4,95,0.046153846153846156,0.6,7.624332995980109
4,96,2.03,0.6,1.6536925287797204
4,97,0.046875,0.6,7.696137384508442
4,98,1.008,0.6,7.766573888130715
4,99,0.046153846153846156,0.6,7.706367888997919
5,1,2.8,0.8,0.9452606600549223
5,2,0.01,0.6,7.763356651285207
5,3,1.7118644067796611,0.6,3.0498485576388386
5,4,0.01,0.6,7.763576770154105
5,5,2.6,0.6,0.9418539921951661
5,6,0.01,0.6,7.765844313388678
5,7,2.9285714285714284,1.0,1.105234760070298
5,8,0.01,0.6,7.763205330701733
5,9,2.6,0.8,1.768969817134554
5,10,0.01,0.6,7.762605051738921
5,11,2.206896551724138,0.8,2.23564844334936
5,12,0.01,0.6,7.766184880409083
5,13,1.9814814814814814,0.6,2.3774248436362795
5,14,0.01,0.6,7.7620804584273895
5,15,2.75,0.6,0.9770722440063025
5,16,0.01,0.6,7.7625747169547195
5,17,2.1176470588235294,0.8,2.0291473206367914
5,18,0.01,0.6,7.760886742922416
5,19,2.0,0.6,2.327530903466399
5,20,0.01,0.6,7.755826321376449
5,21,2.526315789473684,0.6,1.4730045782177492
5,22,0.01,0.6,7.75877574313068
5,23,1.6578947368421053,0.6,5.540342680683136
5,24,0.01,0.6,7.755285489101794
5,25,2.2857142857142856,0.6,1.2214419939295738
5,26,0.01,0.6,7.759831213294151
5,27,1.9464285714285714,0.6,2.7931105122161575
5,28,0.01,0.6,7.754723032544905
5,29,1.8857142857142857,0.6,3.899096900153387
5,30,0.01,0.6,7.762598432899469
5,31,1.8584905660377358,0.6,4.3598714647647405
5,32,0.01,0.6,7.755095367715711
5,33,1.8727272727272728,0.6,2.5667509786437286
5,34,0.01,0.6,7.761624285898094
5,35,2.466666666666667,0.6,1.707379533148653
5,36,0.01,0.6,7.764365842821431
5,37,1.8317757009345794,0.6,4.624520118750013
5,38,0.01,0.6,7.765511391665743
5,39,2.9,0.8,1.1675338459387272
5,40,0.01,0.6,7.763079839096628
5,41,1.9523809523809523,0.6,2.974483459677392
5,42,0.01,0.6,7.761386298696965
5,43,2.0943396226415096,0.8,2.171054639943276
5,44,0.01,0.6,7.762710825514461
5,45,3.0,0.6,1.097484242271895
5,46,0.01,0.6,7.7638015338049655
5,47,1.8857142857142857,0.6,3.9663088311880643
5,48,0.01,0.6,7.763292525207362
5,49,2.018867924528302,0.8,2.401047873710609
5,50,0.01,0.6,7.76231707013589
5,51,2.0847457627118646,0.6,2.5888298778099696
5,52,0.01,0.6,7.762946371211703
5,53,2.0,0.6,3.1463331980954004
5,54,0.01,0.6,7.76388265974798
5,55,2.0384615384615383,0.6,2.2242674730820657
5,56,0.01,0.6,7.765034129882446
5,57,2.0545454545454547,0.6,2.477027389589838
5,58,0.01,0.6,7.765299950766705
5,59,1.9705882352941178,0.6,3.663134245418638
5,60,0.01,0.6,7.763096567095237
5,61,1.896551724137931,0.8,3.013804279138706
5,62,0.01,0.6,7.765992415251731
5,63,2.169811320754717,0.6,1.8938865389656065
5,64,0.01,0.6,7.764210469943075
5,65,2.473684210526316,0.6,1.5207172047320536
5,66,0.01,0.6,7.764790403930954
5,67,1.941747572815534,0.6,3.597429895966677
5,68,0.01,0.6,7.758853535890007
5,69,2.269230769230769,0.6,2.293620657326571
5,70,0.01,0.6,7.765685456532128
5,71,2.1237113402061856,0.6,2.9081019238179158
5,72,0.01,0.6,7.762965353298775
5,73,2.235294117647059,0.8,1.9212774948860019
5,74,0.01,0.6,7.763874628715158
5,75,2.0,0.6,1.2566602457407101
5,76,0.01,0.6,7.761161071648104
5,77,2.26,0.6,1.8379006966524567
5,78,0.01,0.6,7.764241922142799
5,79,1.9705882352941178,0.6,3.5084396585842574
5,80,0.01,0.6,7.7643970622605085
5,81,2.18,0.6,2.302215729598554
5,82,0.01,0.6,7.765447454315611
5,83,2.1454545454545455,0.8,2.422260481112806
5,84,0.01,0.6,7.7567087354834685
5,85,2.033333333333333,0.6,2.6137442837785683
5,86,0.01,0.6,7.764459743027681
5,87,2.03,0.6,3.461860742656139
5,88,0.01,0.6,7.765244118523475
5,89,1.896551724137931,0.8,3.18370346838888
5,90,0.01,0.6,7.764419930049908
5,91,3.5454545454545454,0.8,1.422629024177046
5,92,0.01,0.6,7.7566270909987525
5,93,1.8857142857142857,0.6,4.424473016270101
5,94,0.01,0.6,7.7652471533914325
5,95,2.0545454545454547,0.6,2.6071189052008066
5,96,0.01,0.6,7.763647713832649
5,97,2.1206896551724137,0.8,2.6416736071289053
5,98,0.01,0.6,7.7633636165920334
5,99,2.4347826086956523,0.6,1.7546784731065705
6,1,0.024,0.6,7.756709768398703
6,2,5.0,1.0,0.7826779887263511
6,3,0.023622047244094488,0.6,7.758970133276279
6,4,1.02,0.6,7.765442578203883
6,5,0.023622047244094488,0.6,7.766573888130715
6,6,3.0,0.6,0.8531144923486236
6,7,0.024193548387096774,0.6,7.749795880451522
6,8,1.02,0.6,7.761348315034209
6,9,0.023809523809523808,0.6,7.7519084404362415
6,10,2.625,0.6,0.997604712385732
6,11,0.023622047244094488,0.6,7.756357806598362
6,12,1.02,0.6,7.758433265530009
6,13,0.023622047244094488,0.6,7.7582928734818895
6,14,4.666666666666667,0.8,0.8622659904607586
6,15,0.023809523809523808,0.6,7.766573888130715
6,16,1.02,0.6,7.754497434456266
6,17,0.024193548387096774,0.6,7.75163280043725
6,18,2.6,0.6,0.9235509959708962
6,19,0.023622047244094488,0.6,7.762277367829233
6,20,1.02,0.6,7.758712396827752
6,21,0.023622047244094488,0.6,7.754124807106754
6,22,2.6315789473684212,0.6,1.2588106679944677
6,23,0.024,0.6,7.755989564144334
6,24,1.02,0.6,7.755261527722174
6,25,0.023809523809523808,0.6,7.766573888130715
6,26,4.0,1.0,1.088973772134802
6,27,0.023622047244094488,0.6,7.759244858574701
6,28,1.02,0.6,7.765721709501626
6,29,0.023622047244094488,0.6,7.758985657606914
6,30,3.3333333333333335,0.6,0.9327024940830311
6,31,0.023809523809523808,0.6,7.756165775060078
6,32,1.02,0.6,7.754654724679028
6,33,0.024,0.6,7.759854247330547
6,34,4.5,1.0,1.023501985257536
6,35,0.023622047244094488,0.6,7.766573888130715
6,36,1.02,0.6,7.76248999783526
6,37,0.023622047244094488,0.6,7.753030581226328
6,38,3.1818181818181817,0.6,1.1383986697288753
6,39,0.024390243902439025,0.6,7.750228201457932
6,40,1.02,0.6,7.750365646825512
6,41,0.023809523809523808,0.6,7.758441821315039
6,42,2.875,0.6,1.132702494083031
6,43,0.023622047244094488,0.6,7.764830365482714
6,44,1.02,0.6,7.761844685478965
6,45,0.023622047244094488,0.6,7.766573888130715
6,46,5.333333333333333,0.8,0.9826779887263513
6,47,0.023809523809523808,0.6,7.757911914922138
6,48,1.02,0.6,7.760410816013987
6,49,0.024390243902439025,0.6,7.754826567101654
6,50,3.1666666666666665,0.6,1.0554943370085652
6,51,0.023622047244094488,0.6,7.745900970017712
6,52,1.02,0.6,7.764797265847588
6,53,0.023622047244094488,0.6,7.762096360787824
6,54,2.4444444444444446,0.6,1.2348114961243535
6,55,0.024,0.6,7.766573888130715
6,56,1.02,0.6,7.757537827204949
6,57,0.023809523809523808,0.6,7.75979179389631
6,58,2.857142857142857,0.6,1.4230938769278285
6,59,0.023622047244094488,0.6,7.752351663408935
6,60,1.02,0.6,7.76279769496854
6,61,0.023622047244094488,0.6,7.7436249237627495
6,62,2.806451612903226,0.6,1.3519763383010743
6,63,0.023809523809523808,0.6,7.758794008737576
6,64,1.02,0.6,7.758475326225169
6,65,0.024,0.6,7.766573888130715
6,66,3.8,0.6,1.0939384888798087
6,67,0.023622047244094488,0.6,7.748833934401756
6,68,1.02,0.6,7.761866107375778
6,69,0.023622047244094488,0.6,7.753607322760712
6,70,2.6666666666666665,0.6,1.2481497756036173
6,71,0.024193548387096774,0.6,7.754476768907094
6,72,1.02,0.6,7.759108751874754
6,73,0.023809523809523808,0.6,7.7580414008984775
6,74,2.6666666666666665,0.6,1.2560559266570273
6,75,0.023622047244094488,0.6,7.766573888130715
6,76,1.02,0.6,7.7575016779372445
6,77,0.023622047244094488,0.6,7.742753152968642
6,78,3.7142857142857144,0.6,1.0939384888798087
6,79,0.023809523809523808,0.6,7.763431393761908
6,80,1.02,0.6,7.749968825404362
6,81,0.024193548387096774,0.6,7.76156295168318
6,82,3.6470588235294117,1.0,1.2643259817887211
6,83,0.023622047244094488,0.6,7.758718660692866
6,84,1.02,0.6,7.752424195684813
6,85,0.023622047244094488,0.6,7.766573888130715
6,86,3.275,1.0,1.4902811371038607
6,87,0.024,0.6,7.752583455693513
6,88,1.02,0.6,7.745357507985875
6,89,0.023809523809523808,0.6,7.759666060201923
6,90,2.3636363636363638,0.6,1.3793017161614618
6,91,0.023622047244094488,0.6,7.75535707468253
6,92,1.02,0.6,7.7554353556791025
6,93,0.023622047244094488,0.6,7.760631584390772
6,94,3.0384615384615383,0.6,1.409289917277133
6,95,0.023809523809523808,0.6,7.766573888130715
6,96,1.02,0.6,7.752142385363831
6,97,0.024,0.6,7.760018958913588
6,98,2.923076923076923,0.8,1.3884735297681068
6,99,0.023622047244094488,0.6,7.759666060201923
7,1,1.9636363636363636,0.8,3.8224095473024375
7,2,0.01,0.6,7.763126024204271
7,3,1.9622641509433962,0.6,3.5924498675395578
7,4,0.01,0.6,7.7653919694431695
7,5,4.0,0.6,0.897484242271895
7,6,0.01,0.6,7.7628964849800655
7,7,1.8727272727272728,0.6,3.931223156172493
7,8,0.01,0.6,7.762235216422086
7,9,1.8584905660377358,0.6,6.9320409977138215
7,10,0.01,0.6,7.76327330172254
7,11,3.0,0.8,1.4483844881492782
7,12,0.01,0.6,7.766008375947315
7,13,2.1237113402061856,0.6,4.921792706658709
7,14,0.01,0.6,7.763319296343551
7,15,1.9454545454545455,0.6,3.9480801176162865
7,16,0.01,0.6,7.76472934398087
7,17,1.8317757009345794,0.6,6.722527803628805
7,18,0.01,0.6,7.764641749269563
7,19,3.0,0.6,1.5439139835231284
7,20,0.01,0.6,7.763200443108121
7,21,1.9259259259259258,0.6,3.93048908354526
7,22,0.01,0.6,7.764916901289996
7,23,1.8584905660377358,0.6,7.081412951253279
7,24,0.01,0.6,7.76392501026356
